"sport";"country";"divisionCode";"divisionName";"historicDivisionName";"divisionCodeName";"normalizedDivisionName";"isCup";"year";"seasonId";"bookies";"pages";"numEvents";"firstEventDate";"lastEventDate";"numSeasons";"numEventsLast4Years";"numEventsTotal";"numEventsPerSeason";"numBookiesPerSeason";"url";"2021-e";"2020-e";"2019-e";"2018-e";"2017-e";"2016-e";"2015-e";"2014-e";"2013-e";"2012-e";"2011-e";"2010-e";"2009-e";"2008-e";"2007-e";"2006-e";"2005-e";"2004-e";"2003-e";"2002-e";"2001-e";"2000-e";"1999-e";"1998-e";"1997-e";"1996-e";"1995-e";"2021-b";"2020-b";"2019-b";"2018-b";"2017-b";"2016-b";"2015-b";"2014-b";"2013-b";"2012-b";"2011-b";"2010-b";"2009-b";"2008-b";"2007-b";"2006-b";"2005-b";"2004-b";"2003-b";"2002-b";"2001-b";"2000-b";"1999-b";"1998-b";"1997-b";"1996-b";"1995-b"
"Soccer";"Africa";"soccer/africa/africa-cup-of-nations";"Africa Cup of Nations";"Africa Cup of Nations";"africa-cup-of-nations";"Africa Cup of Nations";1;2021;"MN8PaiBs";20;2;98;"2019-10-09T13:00:00.000Z";"2020-11-17T19:00:00.000Z";8;300;1100;138;16;"https://www.oddsportal.com/soccer/africa/africa-cup-of-nations/results/";100;"NULL";200;"NULL";200;"NULL";200;"NULL";100;200;"NULL";50;"NULL";50;"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";20;"NULL";21;"NULL";17;"NULL";16;"NULL";14;14;"NULL";14;"NULL";10;"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL"
"Soccer";"Africa";"soccer/africa/africa-cup-of-nations-u17";"Africa Cup of Nations U17";"Africa Cup of Nations U";"africa-cup-of-nations-u17";"Africa Cup of Nations U17";1;2019;"Eg5jmvWE";4;1;8;"2019-04-15T14:00:00.000Z";"2019-04-24T16:30:00.000Z";4;50;200;50;3;"https://www.oddsportal.com/soccer/africa/africa-cup-of-nations-u17/results/";"NULL";"NULL";50;"NULL";50;"NULL";50;"NULL";50;"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";4;"NULL";3;"NULL";2;"NULL";4;"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL"
"Soccer";"Africa";"soccer/africa/africa-cup-of-nations-u20";"Africa Cup of Nations U20";"Africa Cup of Nations U";"africa-cup-of-nations-u20";"Africa Cup of Nations U20";1;2021;"U32sQl6j";13;1;26;"2021-02-14T20:00:00.000Z";"2021-03-06T20:00:00.000Z";5;100;250;50;8;"https://www.oddsportal.com/soccer/africa/africa-cup-of-nations-u20/results/";50;"NULL";50;"NULL";50;"NULL";50;"NULL";50;"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";13;"NULL";8;"NULL";7;"NULL";8;"NULL";5;"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL"
"Soccer";"Africa";"soccer/africa/africa-cup-of-nations-u23";"Africa Cup of Nations U23";"Africa Cup of Nations U";"africa-cup-of-nations-u23";"Africa Cup of Nations U23";1;2019;"rJSWYCv0";11;1;39;"2019-03-20T17:00:00.000Z";"2019-11-22T18:00:00.000Z";2;50;100;50;10;"https://www.oddsportal.com/soccer/africa/africa-cup-of-nations-u23/results/";"NULL";"NULL";50;"NULL";"NULL";"NULL";50;"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";11;"NULL";"NULL";"NULL";9;"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL"
"Soccer";"Africa";"soccer/africa/african-championship-women";"African Championship Women";"African Championship Women";"african-championship-women";"African Championship Women";0;2018;"WtltNwK9";10;1;35;"2018-04-04T13:00:00.000Z";"2018-12-01T16:00:00.000Z";4;50;200;50;6;"https://www.oddsportal.com/soccer/africa/african-championship-women/results/";"NULL";"NULL";"NULL";50;"NULL";50;"NULL";50;"NULL";50;"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";10;"NULL";9;"NULL";3;"NULL";1;"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL"
"Soccer";"Africa";"soccer/africa/african-nations-championship";"African Nations Championship";"African Nations Championship";"african-nations-championship";"African Nations Championship";0;2020;"hQF2OO7Q";17;2;62;"2019-05-11T12:30:00.000Z";"2021-02-07T19:00:00.000Z";5;200;400;80;13;"https://www.oddsportal.com/soccer/africa/african-nations-championship/results/";"NULL";100;"NULL";100;"NULL";100;"NULL";50;"NULL";"NULL";50;"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";17;"NULL";16;"NULL";12;"NULL";11;"NULL";"NULL";9;"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL"
"Soccer";"Africa";"soccer/africa/caf-champions-league";"CAF Champions League";"CAF Champions League";"caf-champions-league";"CAF Champions League";0;2021;"IN1JUxgD";20;2;87;"2020-11-28T13:00:00.000Z";"2021-03-16T19:00:00.000Z";13;550;1650;127;12;"https://www.oddsportal.com/soccer/africa/caf-champions-league/results/";100;150;150;150;100;100;150;150;150;150;150;100;50;"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";20;21;20;21;19;13;11;9;9;7;6;4;2;"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL"
"Soccer";"Africa";"soccer/africa/caf-confederations-cup";"CAF Confederations Cup";"CAF Confederations Cup";"caf-confederations-cup";"CAF Confederations Cup";1;2021;"QodoH1ga";18;2;84;"2020-11-27T18:00:00.000Z";"2021-03-17T19:00:00.000Z";12;550;1550;129;12;"https://www.oddsportal.com/soccer/africa/caf-confederations-cup/results/";100;150;150;150;150;100;100;150;150;150;150;50;"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";18;21;19;20;18;12;10;9;8;6;5;3;"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL"
"Soccer";"Africa";"soccer/africa/caf-super-cup";"CAF Super Cup";"NULL";"caf-super-cup";"CAF Super Cup";1;2021;"EPPEx3eo";0;1;0;"NULL";"NULL";10;200;500;50;10;"https://www.oddsportal.com/soccer/africa/caf-super-cup/results/";50;50;50;50;50;50;50;50;50;"NULL";50;"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";0;17;21;12;9;7;10;12;8;"NULL";1;"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL"
"Soccer";"Africa";"soccer/africa/cecafa-championship";"CECAFA Championship";"CECAFA Championship";"cecafa-championship";"CECAFA Championship";0;2019;"SbKfFYoq";11;1;20;"2019-12-07T10:30:00.000Z";"2019-12-19T13:00:00.000Z";4;50;200;50;9;"https://www.oddsportal.com/soccer/africa/cecafa-championship/results/";"NULL";"NULL";50;"NULL";50;"NULL";50;"NULL";50;"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";11;"NULL";14;"NULL";6;"NULL";5;"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL"
"Soccer";"Africa";"soccer/africa/cecafa-clubs-cup";"CECAFA Clubs Cup";"CECAFA Clubs Cup";"cecafa-clubs-cup";"CECAFA Clubs Cup";1;2019;"Spip01JG";11;1;32;"2019-07-06T11:00:00.000Z";"2019-07-21T15:00:00.000Z";4;100;200;50;5;"https://www.oddsportal.com/soccer/africa/cecafa-clubs-cup/results/";"NULL";"NULL";50;50;"NULL";"NULL";50;50;"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";11;7;"NULL";"NULL";3;0;"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL"
"Soccer";"Africa";"soccer/africa/cosafa-championship-u20";"COSAFA Championship U20";"COSAFA Championship U";"cosafa-championship-u20";"COSAFA Championship U20";0;2020;"Kfx91kc9";9;1;19;"2020-12-03T10:30:00.000Z";"2020-12-13T13:00:00.000Z";2;100;100;50;11;"https://www.oddsportal.com/soccer/africa/cosafa-championship-u20/results/";"NULL";50;50;"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";9;12;"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL"
"Soccer";"Africa";"soccer/africa/cosafa-cup";"COSAFA Cup";"COSAFA Cup";"cosafa-cup";"COSAFA Cup";1;2019;"xt4jIZ6g";19;1;20;"2019-05-25T14:30:00.000Z";"2019-06-08T13:00:00.000Z";5;100;250;50;16;"https://www.oddsportal.com/soccer/africa/cosafa-cup/results/";"NULL";"NULL";50;50;50;50;50;"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";19;20;18;14;10;"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL"
"Soccer";"Africa";"soccer/africa/nile-basin-cup";"Nile Basin Cup";"Nile Basin Cup";"nile-basin-cup";"Nile Basin Cup";1;2011;"GCTCXGko";9;1;7;"2011-01-11T11:45:00.000Z";"2011-01-17T16:30:00.000Z";1;0;50;50;9;"https://www.oddsportal.com/soccer/africa/nile-basin-cup/results/";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";50;"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";9;"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL"
"Soccer";"Africa";"soccer/africa/wafu-cup-of-nations";"WAFU Cup of Nations";"WAFU Cup of Nations";"wafu-cup-of-nations";"WAFU Cup of Nations";1;2019;"487520RK";12;1;22;"2019-09-28T17:00:00.000Z";"2019-10-13T18:00:00.000Z";2;50;100;50;11;"https://www.oddsportal.com/soccer/africa/wafu-cup-of-nations/results/";"NULL";"NULL";50;"NULL";50;"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";12;"NULL";10;"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL"
"Soccer";"Albania";"soccer/albania/albanian-cup";"Albanian Cup";"Albanian Cup";"albanian-cup";"Albanian Cup";1;2021;"OC2FlaEe";7;1;8;"2020-11-01T12:30:00.000Z";"2021-03-17T15:00:00.000Z";11;200;600;55;4;"https://www.oddsportal.com/soccer/albania/albanian-cup/results/";50;50;50;50;50;50;50;50;50;100;50;"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";7;8;6;6;4;2;2;3;3;2;5;"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL"
"Soccer";"Albania";"soccer/albania/first-division";"First Division";"First Division";"first-division";"First Division";0;2021;"dYY4LeGC";1;1;29;"2020-11-04T13:00:00.000Z";"2021-03-14T12:00:00.000Z";5;150;250;50;1;"https://www.oddsportal.com/soccer/albania/first-division/results/";50;50;50;"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";50;50;"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";1;1;1;"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";0;0;"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL"
"Soccer";"Albania";"soccer/albania/super-cup";"Super Cup";"Super Cup";"super-cup";"Super Cup";1;2020;"rw9AC262";8;1;1;"2020-08-31T18:00:00.000Z";"2020-08-31T18:00:00.000Z";8;150;400;50;6;"https://www.oddsportal.com/soccer/albania/super-cup/results/";"NULL";50;50;50;50;50;50;"NULL";50;"NULL";50;"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";8;9;8;7;5;0;"NULL";2;"NULL";5;"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL"
"Soccer";"Albania";"soccer/albania/superliga";"Superliga";"Superliga";"superliga";"Superliga";0;2021;"OKzcNHo0";14;2;75;"2020-11-04T12:45:00.000Z";"2021-03-21T15:00:00.000Z";16;550;2100;131;4;"https://www.oddsportal.com/soccer/albania/superliga/results/";100;150;150;150;100;100;100;50;150;150;200;200;150;150;150;50;"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";14;13;8;7;4;3;2;3;5;2;3;2;2;1;1;1;"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL"
"Soccer";"Algeria";"soccer/algeria/algeria-cup";"Algeria Cup";"Algeria Cup";"algeria-cup";"Algeria Cup";1;2020;"jLLU2Zir";16;2;57;"2019-12-26T13:00:00.000Z";"2020-03-11T15:00:00.000Z";8;300;550;69;12;"https://www.oddsportal.com/soccer/algeria/algeria-cup/results/";"NULL";100;100;100;50;50;50;50;50;"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";16;15;14;13;10;9;7;8;"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL"
"Soccer";"Algeria";"soccer/algeria/ligue-1";"Ligue 1";"Ligue";"ligue-1";"Ligue 1";0;2021;"2BZ0My16";22;4;167;"2020-11-27T13:30:00.000Z";"2021-03-21T14:00:00.000Z";11;900;2500;227;15;"https://www.oddsportal.com/soccer/algeria/ligue-1/results/";200;200;250;250;250;250;250;250;250;250;100;"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";22;21;20;21;19;16;12;10;9;6;5;"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL"
"Soccer";"Algeria";"soccer/algeria/ligue-2";"Ligue 2";"Ligue";"ligue-2";"Ligue 2";0;2021;"0tfaqa8J";13;2;78;"2021-02-12T14:00:00.000Z";"2021-03-20T13:30:00.000Z";3;450;450;150;14;"https://www.oddsportal.com/soccer/algeria/ligue-2/results/";100;200;150;"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";13;14;14;"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL"